model_names_reeval,Model Size (B),Pretrain Data Size (Trillion Tokens),FLOPs (1e21)
openai_ada,0.35,Unknown,Unknown
stanford_alpaca-7b,6.7,1,40.2
anthropic_stanford-online-all-v4-s3,52,Unknown,Unknown
Snowflake_snowflake-arctic-instruct,480,0.4,768
openai_babbage,1.3,Unknown,Unknown
together_bloom,176,0.366,386.496
Austism_chronos-hermes-13b,13,Unknown,Unknown
anthropic_claude-2.1,Unknown,Unknown,Unknown
anthropic_claude-3-haiku-20240307,Unknown,Unknown,Unknown
anthropic_claude-3-opus-20240229,Unknown,Unknown,Unknown
anthropic_claude-3-sonnet-20240229,Unknown,Unknown,Unknown
anthropic_claude-3-5-sonnet-20240620,Unknown,Unknown,Unknown
anthropic_claude-instant-1.2,Unknown,Unknown,Unknown
openai_code-cushman-001,12,Unknown,Unknown
openai_code-davinci-002,175,Unknown,Unknown
codellama_CodeLlama-13b-Instruct-hf,13,2.52,196.56
codellama_CodeLlama-34b-Instruct-hf,34,2.52,514.08
codellama_CodeLlama-70b-Instruct-hf,70,2.52,1058.4
codellama_CodeLlama-7b-Instruct-hf,7,2.52,105.84
cohere_command-xlarge-beta,52.4,Unknown,Unknown
cohere_command-medium-beta,6.1,Unknown,Unknown
cohere_large-20220720,13.1,Unknown,Unknown
cohere_medium-20220720,6.1,Unknown,Unknown
cohere_medium-20221108,6.1,Unknown,Unknown
cohere_small-20220720,0.41,Unknown,Unknown
cohere_xlarge-20220609,52.4,Unknown,Unknown
cohere_xlarge-20221108,52.4,Unknown,Unknown
cohere_command-r,35,Unknown,Unknown
cohere_command-r-plus,104,Unknown,Unknown
openai_curie,6.7,Unknown,Unknown
openai_davinci,175,Unknown,Unknown
databricks_dbrx-instruct,36,12,432
deepseek-ai_deepseek-coder-33b-instruct,33,2,66
deepseek-ai_deepseek-llm-67b-chat,67,2,804
cognitivecomputations_dolphin-2.5-mixtral-8x7b,46.7,Unknown,Unknown
tiiuae_falcon-40b,40,1,240
tiiuae_falcon-40b-instruct,40,1,240
tiiuae_falcon-7b,7,1.5,63
tiiuae_falcon-7b-instruct,7,1.5,63
google_gemini-1.0-pro-001,Unknown,Unknown,Unknown
google_gemini-1.5-flash-001,Unknown,Unknown,Unknown
google_gemini-1.5-flash-preview-0514,Unknown,Unknown,Unknown
google_gemini-1.5-pro-001,Unknown,Unknown,Unknown
google_gemini-1.5-pro-preview-0409,Unknown,Unknown,Unknown
